orden;id;partoNop;pv;mesPrenez;sl;diaLactancia;mesLactancia;producDia;producMes;merito;sir;salud;descarte;rcs;nroCuartosMCLP;nroCuartosMCLA;patogeno
1;1;1;1;16;2;0;0;0;0;3;1;1;1;0;1;1;0
2;2;1;1;18;2;0;0;0;0;3;1;1;1;0;1;1;0
3;3;1;1;18;2;0;0;0;0;2;1;1;1;0;1;1;0
4;4;1;1;18;2;0;0;0;0;3;1;1;1;0;1;1;0
5;5;1;1;16;2;0;0;0;0;1;1;1;1;0;1;1;0
6;6;1;1;18;2;0;0;0;0;3;1;1;1;0;1;1;0
7;7;1;1;16;2;0;0;0;0;1;1;1;1;0;1;1;0
8;8;1;1;16;2;0;0;0;0;3;1;1;1;0;1;1;0
9;9;1;1;18;2;0;0;0;0;2;1;1;1;0;1;1;0
10;10;1;1;16;2;0;0;0;0;1;1;1;1;0;1;1;0
11;11;1;1;16;2;0;0;0;0;1;1;1;1;0;1;1;0
12;12;1;1;18;2;0;0;0;0;2;1;1;1;0;1;1;0
13;13;1;1;16;2;0;0;0;0;2;1;1;1;0;1;1;0
14;14;1;1;18;2;0;0;0;0;1;1;1;1;0;1;1;0
15;15;1;1;18;2;0;0;0;0;2;1;1;1;0;1;1;0
16;16;1;1;18;2;0;0;0;0;3;1;1;1;0;1;1;0
17;17;1;1;18;2;0;0;0;0;3;1;1;1;0;1;1;0
18;18;1;1;14;1;300;20;24.16;362.4;2;1;1;1;277;1;1;0
19;19;1;1;8;1;180;12;22.6;339;1;1;1;1;590;1;1;0
20;20;1;1;6;1;150;10;27.16;407.4;2;1;1;1;277;1;1;0
21;21;1;2;-2;1;60;4;24;360;1;1;1;1;5488;1;1;0
22;22;1;1;2;1;120;8;31;465;3;1;1;1;3918;1;1;0
23;23;1;1;14;1;300;20;24.16;362.4;2;1;2;1;4039;1;1;0
24;24;1;1;8;1;240;16;22.6;339;1;1;1;1;3044;1;1;0
25;25;1;1;2;1;90;6;28.34;425.1;2;1;1;1;7252;1;1;0
26;26;1;1;2;1;120;8;27.64;414.6;2;1;1;1;6075;1;1;0
27;27;1;2;0;1;90;6;24;360;1;1;1;1;4563;1;1;0
28;28;1;1;2;1;90;6;28.34;425.1;2;1;1;1;6052;1;1;0
29;29;1;1;8;1;240;16;22.6;339;1;1;1;1;4475;1;1;0
30;30;1;1;12;1;300;20;27.6;414;3;1;1;1;3829;1;1;0
31;31;1;2;0;1;90;6;24;360;1;1;1;1;330;1;1;0
